Q. No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
1,What is the primary purpose of the 'stdio.h' header file?,To perform string manipulations,To handle file input and output,To perform standard input and output operations,To define mathematical functions,C,1
2,Which data type is best suited for storing a whole number without decimals?,float,char,int,double,C,1
3,What is the output of this code: 'printf(%d' 5 + 3);'?,5,3,8,Error,C,1
4,Which operator is used to check for equality between two values?,=,==,!=,>,B,1
5,What does the '++' operator do in C?,Increases the value by 2,Decreases the value by 1,Increases the value by 1,No change in value,C,1
6,Which of the following is a valid variable name?,123variable,my_variable,my-variable,my variable,B,1
7,What is the purpose of the 'if' statement?,To define a function,To create a loop,To make decisions based on conditions,To declare variables,C,1
8,What does the 'else' keyword do in conjunction with an 'if' statement?,Executes code if the condition is true,Executes code regardless of the condition,Executes code if the condition is false,Defines a new variable,C,1
9,What is the output of this code: 'int x = 7; if (x > 5) printf(Greater);'?,Greater,Less,Equal,No output,A,1
10,Which loop is best suited for iterating a known number of times?,while loop,do-while loop,for loop,if-else statement,C,1
11,What is the output of this code: 'for (int i = 0; i < 3; i++) printf(%d ' i);'?,0 1 2,1 2 3,0 0 0,1 1 1,A,1
12,What is an array in C?,A single variable,A collection of different data types,A collection of the same data type,A function,C,1
13,How do you access the first element of an array named 'arr'?,arr[1],arr[0],arr,arr.first,B,1
14,What is a pointer variable?,A variable that stores a value,A variable that stores a memory address,A constant variable,A global variable,B,1
15,Which symbol is used to get the address of a variable?,*,&,%,$,B,1
16,What is the purpose of a function in C?,To declare variables,To perform a specific task,To define data types,To control program flow,B,1
17,Which keyword is used to return a value from a function?,void,main,return,int,C,1
18,What is the output of this code: 'int add(int a int b) { return a + b; } int main() { printf(%d' add(5 2)); }'?,5,2,7,Error,C,1
19,What is the purpose of the 'const' keyword?,To declare a constant variable,To define a function,To create a loop,To include a header file,A,1
20,Which of the following is a valid C comment?,// This is a comment,/* This is a comment*/,# This is a comment,!-- This is a comment --,A,1
21,What is the output of this code: 'int a = 5; a -= 2; printf(%d' a);'?,5,2,3,7,C,1
22,Which operator has the highest precedence?,*,+,-,=,A,1
23,What is the output of this code: 'int x = 10; if (x != 5) printf(Not five);'?,Five,Not five,Equal,No output,B,1
24,Which loop executes at least once?,while loop,for loop,do-while loop,if-else statement,C,1
25,What is the output of this code: 'int arr[3] = {1 2 3}; printf(%d' arr[1]);'?,1,2,3,Error,B,1
26,What is the size of an 'int' data type on most systems?,2 bytes,4 bytes,8 bytes,Depends on the compiler,B,1
